../jeu_100_25_4.txt_3_currentFirst	../jeu_100_25_4.txt_3_bestFirst	../jeu_100_25_4.txt_3_currentBest	../jeu_100_25_4.txt_3_bestBest	../jeu_100_75_2.txt_3_currentFirst	../jeu_100_75_2.txt_3_bestFirst	../jeu_100_75_2.txt_3_currentBest	../jeu_100_75_2.txt_3_bestBest	../jeu_200_25_8.txt_3_currentFirst	../jeu_200_25_8.txt_3_bestFirst	../jeu_200_25_8.txt_3_currentBest	../jeu_200_25_8.txt_3_bestBest	../jeu_200_75_5.txt_3_currentFirst	../jeu_200_75_5.txt_3_bestFirst	../jeu_200_75_5.txt_3_currentBest	../jeu_200_75_5.txt_3_bestBest	
2489	18946.7	39781.5	47815.5	8750	47006.3	105497	115869	56552.7	60455.7	124008	124008	152431	175657	390682	390682	
2538	18946.7	40191.5	47815.5	8775	47006.3	0	115869	56620.7	60455.7	124008	124008	154326	175657	390682	390682	
0	18946.7	40403.5	47815.5	8889	47006.3	0	115869	57426.7	60455.7	124008	124008	156587	175657	390682	390682	
0	18946.7	40824.5	47815.5	8981	47006.3	72330.7	115869	57731.7	60455.7	124008	124008	158615	175657	390682	390682	
23	18946.7	41155.5	47815.5	9347	47006.3	80124.7	115869	58419.7	60455.7	124008	124008	160858	175657	390682	390682	
12407.7	18946.7	41873.5	47815.5	9365	47006.3	85013.7	115869	0	60455.7	124008	124008	163195	175657	390682	390682	
12754.7	18946.7	42115.5	47815.5	9459	47006.3	88214.7	115869	0	60455.7	124008	124008	164993	175657	390682	390682	
13074.7	18946.7	42664.5	47815.5	10668	47006.3	89595.7	115869	38	60455.7	124008	124008	166805	175657	390682	390682	
13134.7	18946.7	42929.5	47815.5	10956	47006.3	90641.7	115869	67	60455.7	124008	124008	169346	175657	390682	390682	
13229.7	18946.7	43162.5	47815.5	12207	47006.3	91885.7	115869	79	60455.7	124008	124008	170132	175657	390682	390682	
