../jeu_100_75_2.txt_1000_best	../jeu_100_75_2.txt_1000_current	
-38.0991	-87.2	
-38.0991	-79	
-38.0991	-79	
-38.0991	-95.4	
-38.0991	-87.2	
-38.0991	-95.4	
-38.0991	-87.2	
-38.0991	-87.2	
-38.0991	-79	
-38.0991	-79	
-38.0991	-79	
-38.0991	-79	
-38.0991	-79	
-38.0991	-79	
-38.0991	-79	
-38.0991	-79	
-38.0991	-95.4	
-38.0991	-79	
-38.0991	-79	
-38.0991	-79	
-38.0991	-79	
-38.0991	-87.2	
-38.0991	-87.2	
-38.0991	-79	
-38.0793	-95.4	
-38.0793	-87.2	
-38.0793	-87.2	
-38.0793	-87.2	
-38.0793	-79	
-38.0793	-79	
-38.0793	-87.2	
-38.0793	-87.2	
-38.0793	-79	
-38.0793	-87.2	
-38.0793	-79	
-38.0793	-87.2	
-38.0793	-79	
-38.0793	-79	
-38.0793	-79	
-38.0793	-87.2	
-38.0793	-87.2	
-38.0793	-87.2	
-38.0793	-79	
-38.0793	-87.2	
-38.0793	-87.2	
-38.0793	-79	
-38.0793	-95.4	
-38.0793	-87.2	
-38.0793	-79	
-38.0793	-87.2	
-38.0793	-87.2	
-38.0793	-95.4	
-38.0793	-79	
-38.0793	-79	
-38.0793	-95.4	
-38.0634	-70.8	
-38.0634	-87.2	
-38.0634	-79	
-38.0634	-79	
-38.0634	-95.4	
-38.0634	-79	
-38.0634	-79	
-38.0634	-87.2	
-38.0634	-79	
-38.0634	-79	
-38.0634	-79	
-38.0634	-87.2	
-38.0508	-79	
-38.0508	-79	
-38.0508	-79	
-38.0508	-79	
-38.0508	-79	
-38.0508	-79	
-38.0508	-95.4	
-38.0508	-79	
-38.0508	-87.2	
-38.0508	-79	
-38.0508	-95.4	
-38.0508	-95.4	
-38.0508	-79	
-38.0508	-87.2	
-38.0508	-87.2	
-38.0508	-87.2	
-38.0508	-95.4	
-38.0508	-79	
-38.0508	-103.6	
-38.0508	-87.2	
-38.0305	-70.8	
-38.0305	-87.2	
-38.0305	-79	
-38.0305	-95.4	
-38.0305	-79	
-38.0305	-103.6	
-38.0305	-87.2	
-38.0305	-87.2	
-38.0305	-79	
-38.0305	-87.2	
-38.0305	-87.2	
-38.0305	-79	
-38.0305	-79	
-38.0305	-79	
-38.0305	-95.4	
-38.0305	-79	
-38.0305	-87.2	
-38.0305	-87.2	
-38.0305	-87.2	
-38.0305	-95.4	
-38.0305	-79	
-38.0305	-95.4	
-38.0305	-87.2	
-38.0305	-87.2	
-38.0305	-87.2	
-38.0305	-79	
-38.0305	-79	
-38.0305	-79	
-38.0305	-95.4	
-38.0305	-79	
-38.0305	-79	
-38.0305	-87.2	
-38.0305	-79	
-38.0305	-79	
-38.0305	-79	
-38.0305	-79	
-38.0305	-79	
-38.0305	-79	
-38.0305	-79	
-38.0305	-87.2	
-38.0305	-87.2	
-38.0305	-79	
-38.0305	-95.4	
-38.0305	-79	
-38.0305	-95.4	
-38.0305	-87.2	
-38.0305	-79	
-38.0305	-87.2	
-38.0244	-70.8	
-38.0244	-79	
-38.0244	-79	
-38.0244	-87.2	
-38.0244	-79	
-38.0244	-87.2	
-38.0244	-79	
-38.0244	-87.2	
-38.0244	-87.2	
-38.0244	-79	
-38.0244	-79	
-38.0244	-87.2	
-38.0244	-95.4	
-38.0244	-95.4	
-38.0244	-79	
-38.0244	-103.6	
-38.0244	-79	
-38.0244	-87.2	
-38.0244	-87.2	
-38.0244	-87.2	
-38.0244	-87.2	
-38.0244	-79	
-38.0244	-79	
-38.0244	-79	
-38.0244	-87.2	
-38.0244	-79	
-38.0244	-79	
-38.0244	-79	
-38.0244	-79	
-38.0244	-79	
-38.0244	-87.2	
-38.0244	-79	
-38.0244	-79	
-38.0244	-79	
-38.0244	-87.2	
-38.0244	-95.4	
-38.0244	-87.2	
-38.0244	-79	
-38.0244	-79	
-38.0244	-87.2	
-38.0244	-79	
-38.0244	-87.2	
-38.0244	-79	
-38.0244	-95.4	
-38.0244	-79	
-38.0244	-79	
-38.0244	-87.2	
-38.0244	-87.2	
-38.0244	-87.2	
-38.0244	-87.2	
-38.0244	-79	
-38.0244	-87.2	
-38.0244	-87.2	
-38.0244	-95.4	
-38.0244	-79	
-38.0244	-87.2	
-38.0244	-79	
-38.0244	-87.2	
-38.0244	-87.2	
-38.0244	-87.2	
-38.0244	-79	
-38.0244	-87.2	
-38.0244	-79	
-38.0244	-87.2	
-38.0244	-87.2	
-38.0244	-87.2	
-38.0244	-87.2	
-38.0244	-79	
-38.0244	-87.2	
-38.0244	-87.2	
-38.0244	-87.2	
-38.0244	-79	
-38.0244	-79	
-38.0244	-79	
-38.0244	-87.2	
-38.0244	-87.2	
-38.0195	-70.8	
-38.0195	-87.2	
-38.0195	-87.2	
-38.0195	-87.2	
-38.0195	-79	
-38.0195	-79	
-38.0195	-79	
-38.0195	-79	
-38.0195	-87.2	
-38.0195	-79	
-38.0195	-87.2	
-38.0195	-87.2	
-38.0195	-79	
-38.0195	-87.2	
-38.0195	-87.2	
-38.0195	-87.2	
-38.0195	-87.2	
-38.0195	-87.2	
-38.0195	-79	
-38.0195	-87.2	
-38.0195	-79	
-38.0195	-87.2	
-38.0195	-87.2	
-38.0195	-87.2	
-38.0195	-79	
-38.0195	-87.2	
-38.0195	-87.2	
-38.0195	-87.2	
-38.0195	-79	
-38.0195	-79	
-38.0195	-87.2	
-38.0195	-87.2	
-38.0195	-87.2	
-38.0195	-87.2	
-38.0195	-79	
-38.0195	-79	
-38.0195	-79	
-38.0195	-87.2	
-38.0195	-79	
-38.0195	-87.2	
-38.0195	-95.4	
-38.0195	-87.2	
-38.0195	-79	
-38.0195	-87.2	
-38.0195	-87.2	
-38.0195	-95.4	
-38.0195	-87.2	
-38.0195	-87.2	
-38.0195	-79	
-38.0195	-79	
-38.0195	-79	
-38.0195	-87.2	
-38.0195	-87.2	
-38.0195	-79	
-38.0195	-79	
-38.0195	-95.4	
-38.0195	-87.2	
-38.0195	-79	
-38.0195	-87.2	
-38.0195	-87.2	
-38.0195	-87.2	
-38.0195	-95.4	
-38.0195	-87.2	
-38.0195	-79	
-38.0195	-79	
-38.0195	-79	
-38.0195	-103.6	
-38.0195	-87.2	
-38.0195	-87.2	
-38.0195	-95.4	
-38.0195	-79	
-38.0195	-79	
-38.0195	-87.2	
-38.0195	-95.4	
-38.0195	-87.2	
-38.0195	-79	
-38.0195	-87.2	
-38.0195	-79	
-38.0195	-79	
-38.0195	-87.2	
-38.0195	-79	
-38.0195	-95.4	
-38.0195	-87.2	
-38.0195	-87.2	
-38.0195	-79	
-38.0195	-87.2	
-38.0195	-79	
-38.0195	-79	
-38.0195	-87.2	
-38.0195	-79	
-38.0195	-87.2	
-38.0195	-87.2	
-38.0195	-87.2	
-38.0195	-87.2	
-38.0195	-103.6	
-38.0195	-87.2	
-38.0195	-87.2	
-38.0195	-95.4	
-38.0195	-79	
-38.0195	-95.4	
-38.0195	-87.2	
-38.0195	-79	
-38.0195	-87.2	
-38.0195	-79	
-38.0195	-87.2	
-38.0195	-95.4	
-38.0195	-87.2	
-38.0195	-79	
-38.0195	-87.2	
-38.0195	-79	
-38.0195	-79	
-38.0195	-95.4	
-38.0195	-79	
-38.0195	-79	
-38.0195	-79	
-38.0195	-79	
-38.0195	-87.2	
-38.0195	-79	
-38.0195	-95.4	
-38.0156	-70.8	
-38.0156	-79	
-38.0156	-79	
-38.0156	-95.4	
-38.0156	-87.2	
-38.0156	-87.2	
-38.0156	-79	
-38.0156	-87.2	
-38.0156	-87.2	
-38.0156	-79	
-38.0156	-87.2	
-38.0156	-95.4	
-38.0156	-79	
-38.0156	-79	
-38.0156	-79	
-38.0125	-70.8	
-38.0125	-87.2	
-38.0125	-95.4	
-38.0125	-87.2	
-38.0125	-79	
-38.0125	-79	
-38.0125	-79	
-38.0125	-87.2	
-38.0125	-79	
-38.0125	-79	
-38.0125	-79	
-38.0125	-79	
-38.0125	-87.2	
-38.0125	-79	
-38.0125	-87.2	
-38.0125	-87.2	
-38.0125	-87.2	
-38.0125	-87.2	
-38.0125	-95.4	
-38.0125	-87.2	
-38.0125	-87.2	
-38.0125	-87.2	
-38.0125	-79	
-38.0125	-79	
-38.0125	-79	
-38.0125	-87.2	
-38.0125	-79	
-38.0125	-87.2	
-38.0125	-95.4	
-38.0125	-87.2	
-38.0125	-87.2	
-38.0125	-87.2	
-38.0125	-79	
-38.0125	-79	
-38.0125	-79	
-38.0125	-79	
-38.0125	-87.2	
-38.0125	-79	
-38.01	-79	
-38.01	-79	
-38.01	-79	
-38.01	-95.4	
-38.01	-87.2	
-38.01	-87.2	
-38.01	-103.6	
-38.01	-79	
-38.01	-79	
-38.01	-87.2	
-38.01	-79	
-38.01	-87.2	
-38.01	-79	
-38.01	-79	
-38.01	-87.2	
-38.01	-79	
-38.01	-79	
-38.01	-95.4	
-38.01	-95.4	
-38.01	-95.4	
-38.01	-95.4	
-38.01	-87.2	
-38.01	-103.6	
-38.01	-87.2	
-38.01	-79	
-38.01	-79	
-38.01	-87.2	
-38.01	-87.2	
-38.01	-79	
-38.01	-95.4	
-38.01	-79	
-38.01	-79	
-38.01	-79	
-38.01	-79	
-38.01	-87.2	
-38.01	-87.2	
-38.01	-79	
-38.01	-95.4	
-38.01	-87.2	
-38.01	-87.2	
-38.01	-79	
-38.01	-95.4	
-38.01	-95.4	
-38.01	-95.4	
-38.01	-87.2	
-38.01	-95.4	
-38.01	-79	
